Xa,Ya,Za,Xgr,Ygr,Zgr,Xma,Yma,Zma,Temp
Initialising
-31.74,-13.18,1013.18,-0.15,2.6,-1.15,25.2,7.05,386.4,29.95
-29.79,-2.93,1027.83,-2.34,0.78,-2.07,25.95,6.3,386.85,29.95
-8.3,-2.44,1009.77,-1.83,0.86,-1.01,25.35,8.4,386.7,29.99
-25.39,-29.3,1027.34,-2.61,3.69,-3.27,24.9,8.4,387.0,30.09
-40.53,-14.16,1036.13,-2.5,0.65,-1.79,25.8,8.7,386.7,29.9
-17.58,-23.44,1020.02,0.03,3.52,-1.24,25.35,7.2,387.0,30.14
-17.58,-19.53,1037.6,-2.6,3.92,-1.28,25.95,8.1,385.65,29.95
-30.76,-3.91,1022.95,-2.84,0.55,-3.07,25.5,8.1,387.15,29.95
-42.97,-22.46,1029.3,-0.02,1.05,-0.39,25.5,8.55,387.6,30.09
-42.97,-18.07,1021.48,-1.66,-0.11,0.24,24.15,7.5,388.2,30.09
Start
-27.34,55.66,1085.94,-3.9,-5.21,6.05,24.9,7.95,387.45,30.28
5.86,-0.98,997.56,0.6,3.69,0.03,24.15,7.2,386.7,29.95
-35.64,97.17,1010.25,6.97,6.69,2.88,23.85,7.35,387.6,29.9
-53.71,116.21,972.66,-6.21,2.58,-5.06,24.3,8.1,388.05,29.95
-74.71,116.21,1014.16,6.69,13.4,-8.24,24.9,6.75,387.45,29.99
-48.83,96.68,1064.45,20.66,21.46,6.55,25.5,7.8,387.15,29.95
-79.1,66.89,1074.22,3.01,8.3,8.14,26.4,9.6,386.4,29.9
-63.48,41.99,1024.41,-3.27,-4.08,-5.94,26.25,10.2,386.7,30.28
0.49,14.65,1021.0,-3.08,1.56,-10.21,27.75,10.65,387.45,30.19
24.41,-49.8,1031.25,-9.79,-2.62,-19.42,27.15,9.6,386.1,30.19
25.39,8.3,1001.95,-11.95,-2.9,-14.53,24.75,8.1,388.35,30.19
-6.35,67.87,965.82,-2.76,0.41,-10.4,25.5,8.1,386.1,30.09
-8.79,72.75,1016.6,-3.1,0.01,-4.15,24.75,9.3,386.1,29.95
-29.79,71.78,1043.46,9.47,6.71,2.09,23.85,9.3,385.65,30.19
-40.04,76.66,1000.0,15.45,3.39,6.16,25.2,9.3,385.65,30.19
